"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 22, 2018","26,214.60","26,025.32","26,215.23","25,974.65","431.20M","0.55%"
"Jan 19, 2018","26,071.72","25,987.35","26,071.72","25,942.83","585.00M","0.21%"
"Jan 18, 2018","26,017.81","26,149.55","26,153.42","25,947.32","492.78M","-0.37%"
"Jan 17, 2018","26,115.65","25,910.78","26,130.45","25,865.02","522.72M","1.25%"
"Jan 16, 2018","25,792.86","25,987.62","26,086.12","25,702.99","606.52M","-0.04%"
"Jan 12, 2018","25,803.19","25,638.39","25,810.43","25,633.08","376.40M","0.89%"
"Jan 11, 2018","25,574.73","25,398.60","25,575.42","25,396.19","346.83M","0.81%"
"Jan 10, 2018","25,369.13","25,348.13","25,404.92","25,256.99","341.47M","-0.07%"
"Jan 09, 2018","25,385.80","25,312.05","25,439.78","25,308.41","333.49M","0.41%"
"Jan 08, 2018","25,283.00","25,308.40","25,311.99","25,235.41","341.39M","-0.05%"
"Jan 05, 2018","25,295.87","25,114.92","25,299.79","25,112.01","358.02M","0.88%"
"Jan 04, 2018","25,075.13","24,964.86","25,105.96","24,963.27","403.28M","0.61%"
"Jan 03, 2018","24,922.68","24,850.45","24,941.92","24,825.55","456.79M","0.40%"
"Jan 02, 2018","24,824.01","24,809.35","24,864.19","24,741.70","341.13M","0.42%"
"Dec 29, 2017","24,719.22","24,849.63","24,871.66","24,719.22","270.76M","-0.48%"
"Dec 28, 2017","24,837.51","24,807.21","24,839.23","24,797.13","200.96M","0.26%"
"Dec 27, 2017","24,774.30","24,766.52","24,789.52","24,731.68","225.89M","0.11%"
"Dec 26, 2017","24,746.21","24,715.84","24,778.13","24,708.42","208.29M","-0.03%"
"Dec 22, 2017","24,754.06","24,764.04","24,784.15","24,717.51","255.14M","-0.11%"
"Dec 21, 2017","24,782.29","24,778.26","24,850.91","24,766.27","339.53M","0.23%"
"Dec 20, 2017","24,726.65","24,838.09","24,852.44","24,697.11","341.79M","-0.11%"
"Dec 19, 2017","24,754.75","24,834.38","24,850.11","24,715.60","335.33M","-0.15%"
"Dec 18, 2017","24,792.20","24,739.56","24,876.07","24,739.56","354.88M","0.57%"
"Dec 15, 2017","24,651.74","24,585.71","24,688.62","24,584.44","635.74M","0.58%"
"Dec 14, 2017","24,508.66","24,631.01","24,672.48","24,508.66","314.78M","-0.31%"
"Dec 13, 2017","24,585.43","24,525.19","24,666.02","24,518.30","325.28M","0.33%"
"Dec 12, 2017","24,504.80","24,452.96","24,552.97","24,443.83","342.22M","0.49%"
"Dec 11, 2017","24,386.03","24,338.11","24,389.72","24,314.74","300.58M","0.23%"
"Dec 08, 2017","24,329.16","24,263.26","24,330.12","24,225.50","293.59M","0.49%"
"Dec 07, 2017","24,211.48","24,116.60","24,262.88","24,101.24","319.06M","0.29%"
"Dec 06, 2017","24,140.91","24,157.85","24,229.19","24,134.49","312.72M","-0.16%"
"Dec 05, 2017","24,180.64","24,335.01","24,349.74","24,155.28","371.19M","-0.45%"
"Dec 04, 2017","24,290.05","24,424.11","24,534.04","24,288.19","424.25M","0.24%"
"Dec 01, 2017","24,231.59","24,305.40","24,322.06","23,921.90","417.91M","-0.17%"
"Nov 30, 2017","24,272.35","24,013.80","24,327.82","24,013.80","488.20M","1.39%"
"Nov 29, 2017","23,940.68","23,883.26","23,959.76","23,872.59","401.41M","0.44%"
"Nov 28, 2017","23,836.71","23,625.19","23,849.61","23,617.11","319.24M","1.09%"
"Nov 27, 2017","23,580.78","23,552.86","23,638.92","23,545.02","296.32M","0.10%"
"Nov 24, 2017","23,557.99","23,552.75","23,599.18","23,551.59","118.61M","0.14%"
"Nov 22, 2017","23,526.18","23,597.24","23,605.77","23,507.61","268.76M","-0.27%"
"Nov 21, 2017","23,590.83","23,500.15","23,617.80","23,500.15","329.65M","0.69%"
"Nov 20, 2017","23,430.33","23,370.71","23,456.88","23,360.58","315.33M","0.31%"
"Nov 17, 2017","23,358.24","23,433.77","23,433.77","23,356.01","386.00M","-0.43%"
"Nov 16, 2017","23,458.36","23,365.34","23,492.19","23,365.34","402.02M","0.80%"
"Nov 15, 2017","23,271.28","23,334.59","23,344.99","23,242.75","404.30M","-0.59%"
"Nov 14, 2017","23,409.47","23,388.40","23,414.08","23,271.57","561.33M","-0.13%"
"Nov 13, 2017","23,439.70","23,367.47","23,461.68","23,343.34","491.26M","0.07%"
"Nov 10, 2017","23,422.21","23,432.71","23,452.20","23,392.96","351.28M","-0.17%"
"Nov 09, 2017","23,461.94","23,492.09","23,516.74","23,310.02","305.44M","-0.43%"
"Nov 08, 2017","23,563.36","23,542.60","23,575.00","23,510.56","264.67M","0.03%"
"Nov 07, 2017","23,557.23","23,574.03","23,602.12","23,484.19","285.08M","0.04%"
"Nov 06, 2017","23,548.42","23,533.96","23,574.86","23,520.75","325.18M","0.04%"
"Nov 03, 2017","23,539.19","23,549.59","23,557.06","23,481.57","312.26M","0.10%"
"Nov 02, 2017","23,516.26","23,463.24","23,531.38","23,350.98","348.04M","0.35%"
"Nov 01, 2017","23,435.01","23,442.90","23,517.71","23,388.91","361.26M","0.25%"
"Oct 31, 2017","23,377.24","23,369.22","23,406.35","23,334.39","388.05M","0.12%"
"Oct 30, 2017","23,348.74","23,405.75","23,428.75","23,327.87","436.90M","-0.36%"
"Oct 27, 2017","23,434.19","23,419.16","23,449.40","23,353.16","518.87M","0.14%"
"Oct 26, 2017","23,400.86","23,380.89","23,459.84","23,380.89","370.60M","0.31%"
"Oct 25, 2017","23,329.46","23,431.09","23,451.51","23,251.11","399.56M","-0.48%"
"Oct 24, 2017","23,441.76","23,346.78","23,485.25","23,343.23","406.85M","0.72%"
"Oct 23, 2017","23,273.96","23,348.95","23,368.37","23,273.96","456.83M","-0.23%"
"Oct 20, 2017","23,328.63","23,205.18","23,328.84","23,201.78","474.38M","0.71%"
"Oct 19, 2017","23,163.04","23,107.47","23,167.24","23,052.67","350.40M","0.02%"
"Oct 18, 2017","23,157.60","23,087.13","23,172.93","23,086.75","271.87M","0.70%"
"Oct 17, 2017","22,997.44","22,952.41","23,002.20","22,948.23","273.09M","0.18%"
"Oct 16, 2017","22,956.96","22,892.92","22,960.12","22,887.12","247.18M","0.37%"
"Oct 13, 2017","22,871.72","22,876.43","22,905.33","22,855.93","259.56M","0.13%"
"Oct 12, 2017","22,841.01","22,854.85","22,884.82","22,821.13","291.79M","-0.14%"
"Oct 11, 2017","22,872.89","22,827.65","22,872.89","22,821.66","316.00M","0.18%"
"Oct 10, 2017","22,830.68","22,784.76","22,850.51","22,770.99","319.27M","0.31%"
"Oct 09, 2017","22,761.07","22,779.73","22,803.37","22,739.38","310.77M","-0.06%"
"Oct 06, 2017","22,773.67","22,762.03","22,773.67","22,730.85","221.45M","-0.01%"
"Oct 05, 2017","22,775.39","22,669.08","22,777.04","22,655.14","246.40M","0.50%"
"Oct 04, 2017","22,661.64","22,645.67","22,685.94","22,632.80","235.73M","0.09%"
"Oct 03, 2017","22,641.67","22,564.45","22,646.32","22,562.90","238.83M","0.37%"
"Oct 02, 2017","22,557.60","22,423.47","22,559.38","22,416.00","268.53M","0.68%"
"Sep 29, 2017","22,405.09","22,358.47","22,405.63","22,332.96","274.79M","0.11%"
"Sep 28, 2017","22,381.20","22,306.83","22,394.74","22,288.97","263.02M","0.18%"
"Sep 27, 2017","22,340.71","22,330.93","22,371.10","22,254.93","342.90M","0.25%"
"Sep 26, 2017","22,284.32","22,322.03","22,369.35","22,279.52","285.99M","-0.05%"
"Sep 25, 2017","22,296.09","22,320.47","22,359.88","22,219.11","332.44M","-0.24%"
"Sep 22, 2017","22,349.59","22,334.07","22,364.31","22,299.58","297.14M","-0.04%"
"Sep 21, 2017","22,359.23","22,414.02","22,419.51","22,356.55","287.39M","-0.24%"
"Sep 20, 2017","22,412.59","22,351.38","22,413.26","22,314.68","334.56M","0.19%"
"Sep 19, 2017","22,370.80","22,349.70","22,386.01","22,340.71","295.57M","0.18%"
"Sep 18, 2017","22,331.35","22,297.92","22,355.62","22,283.35","302.74M","0.28%"
"Sep 15, 2017","22,268.34","22,252.44","22,275.02","22,214.52","527.54M","0.29%"
"Sep 14, 2017","22,203.48","22,144.96","22,216.44","22,135.26","297.78M","0.20%"
"Sep 13, 2017","22,158.18","22,103.47","22,158.18","22,095.79","291.89M","0.18%"
"Sep 12, 2017","22,118.86","22,090.56","22,134.57","22,087.09","364.58M","0.28%"
"Sep 11, 2017","22,057.37","21,927.79","22,067.10","21,927.79","312.77M","1.19%"
"Sep 08, 2017","21,797.79","21,764.43","21,846.63","21,731.12","289.40M","0.06%"
"Sep 07, 2017","21,784.78","21,820.38","21,850.01","21,745.71","333.81M","-0.10%"
"Sep 06, 2017","21,807.64","21,815.76","21,849.24","21,794.07","318.76M","0.25%"
"Sep 05, 2017","21,753.31","21,912.37","21,921.09","21,709.63","332.84M","-1.07%"
"Sep 01, 2017","21,987.56","21,981.77","22,038.97","21,974.91","256.24M","0.18%"
"Aug 31, 2017","21,948.10","21,936.01","21,985.76","21,910.50","376.79M","0.25%"
"Aug 30, 2017","21,892.43","21,859.76","21,914.26","21,839.47","242.84M","0.12%"
"Aug 29, 2017","21,865.37","21,718.00","21,879.22","21,673.58","227.34M","0.26%"
"Aug 28, 2017","21,808.40","21,832.50","21,861.49","21,767.94","218.74M","-0.02%"
"Aug 25, 2017","21,813.67","21,819.08","21,906.86","21,812.81","217.56M","0.14%"
"Aug 24, 2017","21,783.40","21,839.90","21,870.11","21,765.82","228.48M","-0.13%"
"Aug 23, 2017","21,812.09","21,850.27","21,866.66","21,808.39","234.81M","-0.40%"
"Aug 22, 2017","21,899.89","21,739.78","21,912.83","21,738.13","244.98M","0.90%"
"Aug 21, 2017","21,703.75","21,671.36","21,718.74","21,600.34","277.88M","0.13%"
"Aug 18, 2017","21,674.51","21,724.88","21,793.35","21,641.63","309.07M","-0.35%"
"Aug 17, 2017","21,750.73","21,984.74","21,984.74","21,750.32","311.03M","-1.24%"
"Aug 16, 2017","22,024.87","22,031.93","22,085.71","22,002.47","264.92M","0.12%"
"Aug 15, 2017","21,998.99","22,029.91","22,038.92","21,971.48","269.07M","0.02%"
"Aug 14, 2017","21,993.71","21,945.64","22,019.23","21,945.64","235.03M","0.62%"
"Aug 11, 2017","21,858.32","21,883.32","21,911.09","21,842.74","237.80M","0.07%"
"Aug 10, 2017","21,844.01","21,988.20","21,988.20","21,843.94","303.31M","-0.93%"
"Aug 09, 2017","22,048.70","22,022.34","22,057.19","21,996.69","277.80M","-0.17%"
"Aug 08, 2017","22,085.34","22,095.14","22,179.11","22,057.29","262.00M","-0.15%"
"Aug 07, 2017","22,118.42","22,100.20","22,121.15","22,081.97","213.01M","0.12%"
"Aug 04, 2017","22,092.81","22,058.39","22,092.81","22,024.64","253.64M","0.30%"
"Aug 03, 2017","22,026.10","22,007.58","22,044.85","21,991.32","278.73M","0.04%"
"Aug 02, 2017","22,016.24","22,004.36","22,036.10","21,967.46","336.82M","0.24%"
"Aug 01, 2017","21,963.92","21,961.42","21,990.96","21,940.81","328.41M","0.33%"
"Jul 31, 2017","21,891.12","21,863.39","21,929.80","21,861.71","307.61M","0.28%"
"Jul 28, 2017","21,830.31","21,787.51","21,841.18","21,756.12","285.64M","0.15%"
"Jul 27, 2017","21,796.55","21,717.42","21,798.47","21,687.85","407.32M","0.39%"
"Jul 26, 2017","21,711.01","21,690.38","21,742.70","21,683.29","278.24M","0.45%"
"Jul 25, 2017","21,613.43","21,638.56","21,670.62","21,577.37","304.30M","0.47%"
"Jul 24, 2017","21,513.17","21,577.78","21,577.78","21,496.13","284.08M","-0.31%"
"Jul 21, 2017","21,580.07","21,591.72","21,592.61","21,503.78","362.83M","-0.15%"
"Jul 20, 2017","21,611.78","21,641.54","21,661.91","21,576.96","313.95M","-0.13%"
"Jul 19, 2017","21,640.75","21,569.25","21,640.75","21,565.84","253.04M","0.31%"
"Jul 18, 2017","21,574.73","21,589.94","21,589.94","21,471.14","251.11M","-0.25%"
"Jul 17, 2017","21,629.72","21,633.97","21,661.81","21,617.66","244.78M","-0.04%"
"Jul 14, 2017","21,637.74","21,532.77","21,681.53","21,521.72","235.59M","0.39%"
"Jul 13, 2017","21,553.09","21,537.19","21,568.72","21,512.36","232.27M","0.10%"
"Jul 12, 2017","21,532.14","21,467.93","21,580.79","21,467.93","267.87M","0.57%"
"Jul 11, 2017","21,409.07","21,410.17","21,441.62","21,279.30","247.57M","0.00%"
"Jul 10, 2017","21,408.52","21,381.23","21,446.39","21,371.11","270.34M","-0.03%"
"Jul 07, 2017","21,414.34","21,354.66","21,425.82","21,350.72","242.24M","0.44%"
"Jul 06, 2017","21,320.04","21,423.93","21,433.10","21,305.38","320.45M","-0.74%"
"Jul 05, 2017","21,478.17","21,492.83","21,505.36","21,404.76","273.69M","-0.01%"
"Jul 03, 2017","21,479.27","21,392.30","21,562.75","21,391.71","186.81M","0.61%"
"Jun 30, 2017","21,349.63","21,348.60","21,426.12","21,325.08","313.26M","0.29%"
"Jun 29, 2017","21,287.03","21,487.38","21,487.38","21,197.08","336.75M","-0.78%"
"Jun 28, 2017","21,454.61","21,372.36","21,478.75","21,372.36","271.51M","0.68%"
"Jun 27, 2017","21,310.66","21,411.19","21,440.60","21,310.66","292.17M","-0.46%"
"Jun 26, 2017","21,409.55","21,434.68","21,506.21","21,381.25","241.88M","0.07%"
"Jun 23, 2017","21,394.76","21,380.92","21,421.79","21,333.89","368.40M","-0.01%"
"Jun 22, 2017","21,397.29","21,407.98","21,456.47","21,394.81","270.68M","-0.06%"
"Jun 21, 2017","21,410.03","21,466.39","21,492.62","21,390.00","292.50M","-0.27%"
"Jun 20, 2017","21,467.14","21,521.25","21,535.03","21,464.24","310.20M","-0.29%"
"Jun 19, 2017","21,528.99","21,444.75","21,528.99","21,436.08","289.40M","0.68%"
"Jun 16, 2017","21,384.28","21,335.93","21,384.42","21,308.01","603.26M","0.11%"
"Jun 15, 2017","21,359.90","21,291.69","21,367.28","21,261.87","317.20M","-0.07%"
"Jun 14, 2017","21,374.56","21,342.71","21,391.97","21,294.09","295.09M","0.22%"
"Jun 13, 2017","21,328.47","21,256.83","21,332.77","21,256.83","323.51M","0.44%"
"Jun 12, 2017","21,235.67","21,259.95","21,277.08","21,186.15","528.08M","-0.17%"
"Jun 09, 2017","21,271.97","21,208.96","21,305.35","21,159.45","397.20M","0.42%"
"Jun 08, 2017","21,182.53","21,169.76","21,265.69","21,138.16","330.33M","0.04%"
"Jun 07, 2017","21,173.69","21,171.57","21,189.84","21,113.31","273.40M","0.18%"
"Jun 06, 2017","21,136.23","21,145.48","21,180.47","21,118.46","283.55M","-0.23%"
"Jun 05, 2017","21,184.04","21,195.03","21,224.41","21,168.69","269.80M","-0.10%"
"Jun 02, 2017","21,206.29","21,142.09","21,225.04","21,129.56","329.70M","0.29%"
"Jun 01, 2017","21,144.18","21,030.55","21,144.18","20,994.22","276.74M","0.65%"
"May 31, 2017","21,008.65","21,048.46","21,051.70","20,942.57","371.58M","-0.10%"
"May 30, 2017","21,029.47","21,045.49","21,063.62","21,009.60","242.81M","-0.24%"
"May 26, 2017","21,080.28","21,070.15","21,092.82","21,050.49","208.00M","-0.01%"
"May 25, 2017","21,082.95","21,062.96","21,112.32","21,051.41","268.97M","0.34%"
"May 24, 2017","21,012.42","20,949.21","21,022.82","20,933.58","283.18M","0.36%"
"May 23, 2017","20,937.91","20,908.67","20,961.14","20,896.22","244.95M","0.21%"
"May 22, 2017","20,894.83","20,867.77","20,914.26","20,860.16","276.12M","0.43%"
"May 19, 2017","20,804.84","20,698.28","20,857.13","20,687.94","365.18M","0.69%"
"May 18, 2017","20,663.02","20,579.65","20,759.20","20,553.45","422.59M","0.27%"
"May 17, 2017","20,606.93","20,846.17","20,846.17","20,601.08","423.20M","-1.78%"
"May 16, 2017","20,979.75","20,984.48","21,033.53","20,932.88","311.58M","-0.01%"
"May 15, 2017","20,981.94","20,923.63","21,000.83","20,923.63","313.17M","0.41%"
"May 12, 2017","20,896.61","20,893.19","20,916.10","20,869.74","288.50M","-0.11%"
"May 11, 2017","20,919.42","20,925.72","20,933.36","20,798.90","287.68M","-0.11%"
"May 10, 2017","20,943.11","20,958.49","20,976.28","20,884.15","283.34M","-0.16%"
"May 09, 2017","20,975.78","21,022.28","21,046.85","20,938.04","273.00M","-0.17%"
"May 08, 2017","21,012.28","20,991.26","21,017.89","20,971.05","276.15M","0.03%"
"May 05, 2017","21,006.94","20,929.04","21,006.94","20,905.00","260.96M","0.26%"
"May 04, 2017","20,951.47","20,987.83","20,990.79","20,847.95","274.72M","-0.03%"
"May 03, 2017","20,957.90","20,915.00","20,972.74","20,874.18","310.92M","0.04%"
"May 02, 2017","20,949.89","20,941.19","20,960.92","20,904.06","338.81M","0.17%"
"May 01, 2017","20,913.46","20,962.73","20,976.62","20,898.38","288.16M","-0.13%"
"Apr 28, 2017","20,940.51","20,987.39","20,987.76","20,926.75","329.99M","-0.19%"
"Apr 27, 2017","20,981.33","20,991.12","21,005.80","20,935.80","305.69M","0.03%"
"Apr 26, 2017","20,975.09","21,009.95","21,070.90","20,972.27","328.55M","-0.10%"
"Apr 25, 2017","20,996.12","20,915.51","21,026.97","20,909.38","348.18M","1.12%"
"Apr 24, 2017","20,763.89","20,723.59","20,792.20","20,723.59","342.40M","1.05%"
"Apr 21, 2017","20,547.76","20,578.10","20,601.40","20,505.33","369.60M","-0.15%"
"Apr 20, 2017","20,578.71","20,406.68","20,629.78","20,406.68","312.44M","0.85%"
"Apr 19, 2017","20,404.49","20,503.52","20,546.69","20,379.55","294.79M","-0.58%"
"Apr 18, 2017","20,523.28","20,561.39","20,600.12","20,462.28","263.18M","-0.55%"
"Apr 17, 2017","20,636.92","20,484.75","20,644.41","20,484.75","229.24M","0.90%"
"Apr 13, 2017","20,453.25","20,561.69","20,612.27","20,453.25","235.81M","-0.67%"
"Apr 12, 2017","20,591.86","20,637.95","20,642.54","20,553.03","267.67M","-0.29%"
"Apr 11, 2017","20,651.30","20,644.32","20,660.03","20,512.56","255.12M","-0.03%"
"Apr 10, 2017","20,658.02","20,668.22","20,750.33","20,614.86","230.48M","0.01%"
"Apr 07, 2017","20,656.10","20,647.81","20,726.07","20,606.95","219.73M","-0.03%"
"Apr 06, 2017","20,662.95","20,653.77","20,746.46","20,612.17","251.72M","0.07%"
"Apr 05, 2017","20,648.15","20,745.06","20,887.50","20,639.55","284.98M","-0.20%"
"Apr 04, 2017","20,689.24","20,634.94","20,701.29","20,605.30","237.39M","0.19%"
"Apr 03, 2017","20,650.21","20,665.17","20,692.34","20,517.82","285.68M","-0.06%"
"Mar 31, 2017","20,663.22","20,700.34","20,722.59","20,660.68","303.77M","-0.31%"
"Mar 30, 2017","20,728.49","20,662.79","20,753.78","20,643.60","270.90M","0.33%"
"Mar 29, 2017","20,659.32","20,675.75","20,684.73","20,625.03","238.32M","-0.20%"
"Mar 28, 2017","20,701.50","20,542.14","20,735.61","20,520.10","299.67M","0.73%"
"Mar 27, 2017","20,550.98","20,488.35","20,578.46","20,412.80","269.38M","-0.22%"
"Mar 24, 2017","20,596.72","20,674.45","20,718.33","20,529.67","292.98M","-0.29%"
"Mar 23, 2017","20,656.58","20,645.07","20,757.89","20,618.62","280.05M","-0.02%"
"Mar 22, 2017","20,661.30","20,640.42","20,686.21","20,578.95","325.09M","-0.03%"
"Mar 21, 2017","20,668.01","20,956.33","20,970.04","20,653.26","369.32M","-1.14%"
"Mar 20, 2017","20,905.86","20,916.27","20,955.45","20,885.70","253.61M","-0.04%"
"Mar 17, 2017","20,914.62","20,965.37","20,980.51","20,911.07","535.28M","-0.10%"
"Mar 16, 2017","20,934.55","20,969.27","21,000.11","20,893.50","264.36M","-0.07%"
"Mar 15, 2017","20,950.10","20,874.78","20,977.47","20,859.60","306.59M","0.54%"
"Mar 14, 2017","20,837.37","20,848.60","20,874.00","20,786.31","246.82M","-0.21%"
"Mar 13, 2017","20,881.48","20,899.28","20,926.06","20,845.71","289.26M","-0.10%"
"Mar 10, 2017","20,902.98","20,919.01","20,940.29","20,827.66","315.43M","0.21%"
"Mar 09, 2017","20,858.19","20,864.32","20,900.57","20,777.16","275.96M","0.01%"
"Mar 08, 2017","20,855.73","20,940.44","20,951.44","20,835.58","296.78M","-0.33%"
"Mar 07, 2017","20,924.76","20,934.89","20,970.54","20,901.26","274.63M","-0.14%"
"Mar 06, 2017","20,954.34","20,955.71","20,986.43","20,912.11","266.62M","-0.24%"
"Mar 03, 2017","21,005.71","21,008.75","21,039.96","20,953.86","254.42M","0.01%"
"Mar 02, 2017","21,002.97","21,128.91","21,129.20","20,996.61","319.91M","-0.53%"
"Mar 01, 2017","21,115.55","20,957.29","21,169.11","20,957.29","392.82M","1.46%"
"Feb 28, 2017","20,812.24","20,833.88","20,841.24","20,781.21","339.21M","-0.12%"
"Feb 27, 2017","20,837.44","20,808.71","20,851.33","20,774.76","256.54M","0.08%"
"Feb 24, 2017","20,821.76","20,751.91","20,821.76","20,733.95","292.54M","0.05%"
"Feb 23, 2017","20,810.32","20,817.21","20,840.70","20,746.41","302.11M","0.17%"
"Feb 22, 2017","20,775.60","20,715.41","20,781.59","20,692.39","310.53M","0.16%"
"Feb 21, 2017","20,743.00","20,663.43","20,757.64","20,663.37","336.88M","0.58%"
"Feb 17, 2017","20,624.05","20,564.13","20,624.05","20,532.61","340.62M","0.02%"
"Feb 16, 2017","20,619.77","20,627.31","20,639.87","20,556.83","354.12M","0.04%"
"Feb 15, 2017","20,611.86","20,504.27","20,620.45","20,496.03","384.38M","0.52%"
"Feb 14, 2017","20,504.41","20,374.22","20,504.41","20,374.02","356.58M","0.45%"
"Feb 13, 2017","20,412.16","20,338.54","20,441.48","20,322.95","314.62M","0.70%"
"Feb 10, 2017","20,269.37","20,211.23","20,298.21","20,204.76","312.23M","0.48%"
"Feb 09, 2017","20,172.40","20,061.73","20,206.36","20,061.73","325.31M","0.59%"
"Feb 08, 2017","20,054.34","20,049.29","20,068.28","20,015.33","280.41M","-0.18%"
"Feb 07, 2017","20,090.29","20,107.62","20,155.35","20,068.68","279.67M","0.19%"
"Feb 06, 2017","20,052.42","20,025.61","20,094.95","20,002.81","281.72M","-0.09%"
"Feb 03, 2017","20,071.46","19,964.21","20,081.48","19,964.21","344.22M","0.94%"
"Feb 02, 2017","19,884.91","19,858.34","19,922.75","19,831.09","347.22M","-0.03%"
"Feb 01, 2017","19,890.94","19,923.81","19,967.73","19,845.99","426.67M","0.14%"
"Jan 31, 2017","19,864.09","19,913.16","19,918.17","19,784.77","373.75M","-0.54%"
"Jan 30, 2017","19,971.13","20,028.62","20,028.62","19,870.39","317.28M","-0.61%"
"Jan 27, 2017","20,093.78","20,103.36","20,115.97","20,072.64","343.13M","-0.04%"
"Jan 26, 2017","20,100.91","20,076.25","20,125.58","20,067.53","356.73M","0.16%"
"Jan 25, 2017","20,068.51","19,994.48","20,082.00","19,994.48","372.24M","0.78%"
"Jan 24, 2017","19,912.71","19,794.68","19,949.24","19,786.71","374.46M","0.57%"
"Jan 23, 2017","19,799.85","19,794.79","19,833.98","19,732.36","326.69M","-0.14%"