Week,trump_kw
1/29/17,100
2/5/17,67
2/12/17,67
2/19/17,48
2/26/17,47
3/5/17,38
3/12/17,39
3/19/17,42
3/26/17,31
4/2/17,35
4/9/17,29
4/16/17,26
4/23/17,27
4/30/17,28
5/7/17,33
5/14/17,44
5/21/17,41
5/28/17,47
6/4/17,38
6/11/17,33
6/18/17,25
6/25/17,29
7/2/17,31
7/9/17,32
7/16/17,27
7/23/17,35
7/30/17,30
8/6/17,28
8/13/17,47
8/20/17,38
8/27/17,28
9/3/17,22
9/10/17,18
9/17/17,26
9/24/17,40
10/1/17,30
10/8/17,35
10/15/17,29
10/22/17,26
10/29/17,29
11/5/17,24
11/12/17,26
11/19/17,24
11/26/17,28
12/3/17,30
12/10/17,27
12/17/17,24
12/24/17,22
12/31/17,27
1/7/18,37
1/14/18,32
1/21/18,27
1/28/18,31
2/4/18,25
2/11/18,24
2/18/18,25
2/25/18,23
3/4/18,23
3/11/18,27
3/18/18,28
3/25/18,25
4/1/18,22
4/8/18,30
4/15/18,24
4/22/18,26
4/29/18,23
5/6/18,23
5/13/18,22
5/20/18,21
5/27/18,23
6/3/18,23
6/10/18,33
6/17/18,34
6/24/18,26
7/1/18,23
7/8/18,28
7/15/18,38
7/22/18,29
7/29/18,25
8/5/18,25
8/12/18,24
8/19/18,31
8/26/18,34
9/2/18,29
9/9/18,25
9/16/18,22
9/23/18,24
9/30/18,26
10/7/18,24
10/14/18,24
10/21/18,24
10/28/18,27
11/4/18,32
11/11/18,25
11/18/18,22
11/25/18,22
12/2/18,26
12/9/18,28
12/16/18,28
12/23/18,28
12/30/18,26
1/6/19,37
1/13/19,34